transaction_id,date,description,payee,amount,channel
TXN0402,2026-01-02 11:29:00,Food,Restaurant A,632,UPI
TXN0647,2026-01-02 12:27:00,Travel,Uber,1114,UPI
TXN0825,2026-01-02 20:01:00,Shopping,Flipkart,2185,NEFT
TXN0008,2026-01-02 20:57:00,Shopping,Priya Stores,1807,NEFT
TXN0891,2026-01-03 08:08:00,Transfer,Ravi Kumar,6629,UPI
TXN0805,2026-01-03 09:40:00,Food,Restaurant A,654,UPI
TXN0102,2026-01-03 09:54:00,Grocery,Fresh Market,910,UPI
TXN0929,2026-01-03 10:47:00,Travel,Ola,1570,UPI
TXN0731,2026-01-03 11:43:00,Bills,Electricity Board,4235,UPI
TXN0087,2026-01-03 15:49:00,Bills,Mobile Recharge,5112,UPI
TXN0327,2026-01-04 12:30:00,Bills,Electricity Board,1512,UPI
TXN0774,2026-01-04 12:58:00,Travel,Uber,1738,UPI
TXN0190,2026-01-04 15:10:00,Shopping,Book Shop,4515,UPI
TXN0205,2026-01-05 09:35:00,Food,Restaurant A,653,UPI
TXN0881,2026-01-05 10:07:00,Health,Pharmacy,1594,UPI
TXN0481,2026-01-05 12:22:00,Shopping,Flipkart,7340,UPI
TXN0496,2026-01-05 14:05:00,Shopping,Priya Stores,1053,NEFT
TXN0736,2026-01-05 17:02:00,Transfer,Ravi Kumar,5501,IMPS
TXN0985,2026-01-06 09:06:00,Shopping,Flipkart,7893,NEFT
TXN0817,2026-01-06 13:51:00,Salary,ABC Ltd,42000,Bank Transfer
TXN0494,2026-01-06 14:39:00,Shopping,Book Shop,4351,UPI
TXN0668,2026-01-06 14:45:00,Food,Restaurant A,206,UPI
TXN0054,2026-01-06 18:02:00,Bills,Electricity Board,2385,UPI
TXN0956,2026-01-07 11:58:00,Bills,Electricity Board,3337,UPI
TXN0005,2026-01-08 09:35:00,Shopping,Flipkart,2405,UPI
TXN0522,2026-01-08 10:26:00,Shopping,Book Shop,5477,NEFT
TXN0386,2026-01-08 11:04:00,Food,Restaurant A,1639,UPI
TXN0979,2026-01-08 14:54:00,Shopping,Book Shop,4204,UPI
TXN0760,2026-01-08 18:49:00,Food,Restaurant A,1122,UPI
TXN0523,2026-01-09 10:09:00,Grocery,Fresh Market,1266,UPI
TXN0234,2026-01-09 11:57:00,Food,Restaurant A,1647,UPI
TXN0672,2026-01-09 12:53:00,Travel,Uber,887,UPI
TXN0120,2026-01-10 09:51:00,Bills,Mobile Recharge,4059,UPI
TXN0591,2026-01-10 10:20:00,Transfer,Ravi Kumar,6456,NEFT
TXN0113,2026-01-10 16:01:00,Shopping,Flipkart,2134,NEFT
TXN0290,2026-01-10 18:32:00,Grocery,Fresh Market,1261,UPI
TXN0457,2026-01-10 19:17:00,Food,Cafe Coffee,1769,UPI
TXN0439,2026-01-11 12:13:00,Transfer,Ravi Kumar,8172,NEFT
TXN0504,2026-01-11 13:23:00,Health,Pharmacy,2840,UPI
TXN0081,2026-01-11 18:34:00,Grocery,Fresh Market,2017,UPI
TXN0940,2026-01-12 08:12:00,Shopping,Flipkart,876,NEFT
TXN0141,2026-01-12 12:10:00,Travel,Ola,2653,UPI
TXN0295,2026-01-12 13:32:00,Shopping,Priya Stores,959,NEFT
TXN0499,2026-01-12 14:00:00,Bills,Electricity Board,3273,UPI
TXN0583,2026-01-12 14:50:00,Grocery,SuperMart,1097,UPI
TXN0687,2026-01-12 14:51:00,Travel,Ola,1109,UPI
TXN0012,2026-01-12 20:27:00,Travel,Ola,2346,UPI
TXN0578,2026-01-13 08:51:00,Food,Restaurant A,1213,UPI
TXN0033,2026-01-13 09:52:00,Shopping,Amazon,5640,UPI
